Datum,school_holiday_name,is_school_holiday
2013-01-01,Weihnachten,1
2013-01-02,Weihnachten,1
2013-01-03,Weihnachten,1
2013-01-04,Weihnachten,1
2013-01-05,Weihnachten,1
2013-03-25,Ostern,1
2013-03-26,Ostern,1
2013-03-27,Ostern,1
2013-03-28,Ostern,1
2013-03-29,Ostern,1
2013-03-30,Ostern,1
2013-03-31,Ostern,1
2013-04-01,Ostern,1
2013-04-02,Ostern,1
2013-04-03,Ostern,1
2013-04-04,Ostern,1
2013-04-05,Ostern,1
2013-04-06,Ostern,1
2013-04-07,Ostern,1
2013-04-08,Ostern,1
2013-04-09,Ostern,1
2013-05-10,Pfingsten,1
2013-06-24,Sommer,1
2013-06-25,Sommer,1
2013-06-26,Sommer,1
2013-06-27,Sommer,1
2013-06-28,Sommer,1
2013-06-29,Sommer,1
2013-06-30,Sommer,1
2013-07-01,Sommer,1
2013-07-02,Sommer,1
2013-07-03,Sommer,1
2013-07-04,Sommer,1
2013-07-05,Sommer,1
2013-07-06,Sommer,1
2013-07-07,Sommer,1
2013-07-08,Sommer,1
2013-07-09,Sommer,1
2013-07-10,Sommer,1
2013-07-11,Sommer,1
2013-07-12,Sommer,1
2013-07-13,Sommer,1
2013-07-14,Sommer,1
2013-07-15,Sommer,1
2013-07-16,Sommer,1
2013-07-17,Sommer,1
2013-07-18,Sommer,1
2013-07-19,Sommer,1
2013-07-20,Sommer,1
2013-07-21,Sommer,1
2013-07-22,Sommer,1
2013-07-23,Sommer,1
2013-07-24,Sommer,1
2013-07-25,Sommer,1
2013-07-26,Sommer,1
2013-07-27,Sommer,1
2013-07-28,Sommer,1
2013-07-29,Sommer,1
2013-07-30,Sommer,1
2013-07-31,Sommer,1
2013-08-01,Sommer,1
2013-08-02,Sommer,1
2013-08-03,Sommer,1
2013-10-04,Herbst,1
2013-10-05,Herbst,1
2013-10-06,Herbst,1
2013-10-07,Herbst,1
2013-10-08,Herbst,1
2013-10-09,Herbst,1
2013-10-10,Herbst,1
2013-10-11,Herbst,1
2013-10-12,Herbst,1
2013-10-13,Herbst,1
2013-10-14,Herbst,1
2013-10-15,Herbst,1
2013-10-16,Herbst,1
2013-10-17,Herbst,1
2013-10-18,Herbst,1
2013-12-23,Weihnachten,1
2013-12-24,Weihnachten,1
2013-12-25,Weihnachten,1
2013-12-26,Weihnachten,1
2013-12-27,Weihnachten,1
2013-12-28,Weihnachten,1
2013-12-29,Weihnachten,1
2013-12-30,Weihnachten,1
2013-12-31,Weihnachten,1
2014-01-01,Weihnachten,1
2014-01-02,Weihnachten,1
2014-01-03,Weihnachten,1
2014-01-04,Weihnachten,1
2014-01-05,Weihnachten,1
2014-01-06,Weihnachten,1
2014-04-16,Ostern,1
2014-04-17,Ostern,1
2014-04-18,Ostern,1
2014-04-19,Ostern,1
2014-04-20,Ostern,1
2014-04-21,Ostern,1
2014-04-22,Ostern,1
2014-04-23,Ostern,1
2014-04-24,Ostern,1
2014-04-25,Ostern,1
2014-04-26,Ostern,1
2014-04-27,Ostern,1
2014-04-28,Ostern,1
2014-04-29,Ostern,1
2014-04-30,Ostern,1
2014-05-01,Ostern,1
2014-05-02,Ostern,1
2014-05-30,Pfingsten,1
2014-07-14,Sommer,1
2014-07-15,Sommer,1
2014-07-16,Sommer,1
2014-07-17,Sommer,1
2014-07-18,Sommer,1
2014-07-19,Sommer,1
2014-07-20,Sommer,1
2014-07-21,Sommer,1
2014-07-22,Sommer,1
2014-07-23,Sommer,1
2014-07-24,Sommer,1
2014-07-25,Sommer,1
2014-07-26,Sommer,1
2014-07-27,Sommer,1
2014-07-28,Sommer,1
2014-07-29,Sommer,1
2014-07-30,Sommer,1
2014-07-31,Sommer,1
2014-08-01,Sommer,1
2014-08-02,Sommer,1
2014-08-03,Sommer,1
2014-08-04,Sommer,1
2014-08-05,Sommer,1
2014-08-06,Sommer,1
2014-08-07,Sommer,1
2014-08-08,Sommer,1
2014-08-09,Sommer,1
2014-08-10,Sommer,1
2014-08-11,Sommer,1
2014-08-12,Sommer,1
2014-08-13,Sommer,1
2014-08-14,Sommer,1
2014-08-15,Sommer,1
2014-08-16,Sommer,1
2014-08-17,Sommer,1
2014-08-18,Sommer,1
2014-08-19,Sommer,1
2014-08-20,Sommer,1
2014-08-21,Sommer,1
2014-08-22,Sommer,1
2014-08-23,Sommer,1
2014-10-13,Herbst,1
2014-10-14,Herbst,1
2014-10-15,Herbst,1
2014-10-16,Herbst,1
2014-10-17,Herbst,1
2014-10-18,Herbst,1
2014-10-19,Herbst,1
2014-10-20,Herbst,1
2014-10-21,Herbst,1
2014-10-22,Herbst,1
2014-10-23,Herbst,1
2014-10-24,Herbst,1
2014-10-25,Herbst,1
2014-12-22,Weihnachten,1
2014-12-23,Weihnachten,1
2014-12-24,Weihnachten,1
2014-12-25,Weihnachten,1
2014-12-26,Weihnachten,1
2014-12-27,Weihnachten,1
2014-12-28,Weihnachten,1
2014-12-29,Weihnachten,1
2014-12-30,Weihnachten,1
2014-12-31,Weihnachten,1
2015-01-01,Weihnachten,1
2015-01-02,Weihnachten,1
2015-01-03,Weihnachten,1
2015-01-04,Weihnachten,1
2015-01-05,Weihnachten,1
2015-01-06,Weihnachten,1
2015-04-01,Ostern,1
2015-04-02,Ostern,1
2015-04-03,Ostern,1
2015-04-04,Ostern,1
2015-04-05,Ostern,1
2015-04-06,Ostern,1
2015-04-07,Ostern,1
2015-04-08,Ostern,1
2015-04-09,Ostern,1
2015-04-10,Ostern,1
2015-04-11,Ostern,1
2015-04-12,Ostern,1
2015-04-13,Ostern,1
2015-04-14,Ostern,1
2015-04-15,Ostern,1
2015-04-16,Ostern,1
2015-04-17,Ostern,1
2015-05-15,Pfingsten,1
2015-07-20,Sommer,1
2015-07-21,Sommer,1
2015-07-22,Sommer,1
2015-07-23,Sommer,1
2015-07-24,Sommer,1
2015-07-25,Sommer,1
2015-07-26,Sommer,1
2015-07-27,Sommer,1
2015-07-28,Sommer,1
2015-07-29,Sommer,1
2015-07-30,Sommer,1
2015-07-31,Sommer,1
2015-08-01,Sommer,1
2015-08-02,Sommer,1
2015-08-03,Sommer,1
2015-08-04,Sommer,1
2015-08-05,Sommer,1
2015-08-06,Sommer,1
2015-08-07,Sommer,1
2015-08-08,Sommer,1
2015-08-09,Sommer,1
2015-08-10,Sommer,1
2015-08-11,Sommer,1
2015-08-12,Sommer,1
2015-08-13,Sommer,1
2015-08-14,Sommer,1
2015-08-15,Sommer,1
2015-08-16,Sommer,1
2015-08-17,Sommer,1
2015-08-18,Sommer,1
2015-08-19,Sommer,1
2015-08-20,Sommer,1
2015-08-21,Sommer,1
2015-08-22,Sommer,1
2015-08-23,Sommer,1
2015-08-24,Sommer,1
2015-08-25,Sommer,1
2015-08-26,Sommer,1
2015-08-27,Sommer,1
2015-08-28,Sommer,1
2015-08-29,Sommer,1
2015-10-19,Herbst,1
2015-10-20,Herbst,1
2015-10-21,Herbst,1
2015-10-22,Herbst,1
2015-10-23,Herbst,1
2015-10-24,Herbst,1
2015-10-25,Herbst,1
2015-10-26,Herbst,1
2015-10-27,Herbst,1
2015-10-28,Herbst,1
2015-10-29,Herbst,1
2015-10-30,Herbst,1
2015-10-31,Herbst,1
2015-12-21,Weihnachten,1
2015-12-22,Weihnachten,1
2015-12-23,Weihnachten,1
2015-12-24,Weihnachten,1
2015-12-25,Weihnachten,1
2015-12-26,Weihnachten,1
2015-12-27,Weihnachten,1
2015-12-28,Weihnachten,1
2015-12-29,Weihnachten,1
2015-12-30,Weihnachten,1
2015-12-31,Weihnachten,1
2016-01-01,Weihnachten,1
2016-01-02,Weihnachten,1
2016-01-03,Weihnachten,1
2016-01-04,Weihnachten,1
2016-01-05,Weihnachten,1
2016-01-06,Weihnachten,1
2016-03-24,Ostern,1
2016-03-25,Ostern,1
2016-03-26,Ostern,1
2016-03-27,Ostern,1
2016-03-28,Ostern,1
2016-03-29,Ostern,1
2016-03-30,Ostern,1
2016-03-31,Ostern,1
2016-04-01,Ostern,1
2016-04-02,Ostern,1
2016-04-03,Ostern,1
2016-04-04,Ostern,1
2016-04-05,Ostern,1
2016-04-06,Ostern,1
2016-04-07,Ostern,1
2016-04-08,Ostern,1
2016-04-09,Ostern,1
2016-05-06,Pfingsten,1
2016-07-25,Sommer,1
2016-07-26,Sommer,1
2016-07-27,Sommer,1
2016-07-28,Sommer,1
2016-07-29,Sommer,1
2016-07-30,Sommer,1
2016-07-31,Sommer,1
2016-08-01,Sommer,1
2016-08-02,Sommer,1
2016-08-03,Sommer,1
2016-08-04,Sommer,1
2016-08-05,Sommer,1
2016-08-06,Sommer,1
2016-08-07,Sommer,1
2016-08-08,Sommer,1
2016-08-09,Sommer,1
2016-08-10,Sommer,1
2016-08-11,Sommer,1
2016-08-12,Sommer,1
2016-08-13,Sommer,1
2016-08-14,Sommer,1
2016-08-15,Sommer,1
2016-08-16,Sommer,1
2016-08-17,Sommer,1
2016-08-18,Sommer,1
2016-08-19,Sommer,1
2016-08-20,Sommer,1
2016-08-21,Sommer,1
2016-08-22,Sommer,1
2016-08-23,Sommer,1
2016-08-24,Sommer,1
2016-08-25,Sommer,1
2016-08-26,Sommer,1
2016-08-27,Sommer,1
2016-08-28,Sommer,1
2016-08-29,Sommer,1
2016-08-30,Sommer,1
2016-08-31,Sommer,1
2016-09-01,Sommer,1
2016-09-02,Sommer,1
2016-09-03,Sommer,1
2016-10-17,Herbst,1
2016-10-18,Herbst,1
2016-10-19,Herbst,1
2016-10-20,Herbst,1
2016-10-21,Herbst,1
2016-10-22,Herbst,1
2016-10-23,Herbst,1
2016-10-24,Herbst,1
2016-10-25,Herbst,1
2016-10-26,Herbst,1
2016-10-27,Herbst,1
2016-10-28,Herbst,1
2016-10-29,Herbst,1
2016-12-23,Weihnachten,1
2016-12-24,Weihnachten,1
2016-12-25,Weihnachten,1
2016-12-26,Weihnachten,1
2016-12-27,Weihnachten,1
2016-12-28,Weihnachten,1
2016-12-29,Weihnachten,1
2016-12-30,Weihnachten,1
2016-12-31,Weihnachten,1
2017-01-01,Weihnachten,1
2017-01-02,Weihnachten,1
2017-01-03,Weihnachten,1
2017-01-04,Weihnachten,1
2017-01-05,Weihnachten,1
2017-01-06,Weihnachten,1
2017-04-07,Ostern,1
2017-04-08,Ostern,1
2017-04-09,Ostern,1
2017-04-10,Ostern,1
2017-04-11,Ostern,1
2017-04-12,Ostern,1
2017-04-13,Ostern,1
2017-04-14,Ostern,1
2017-04-15,Ostern,1
2017-04-16,Ostern,1
2017-04-17,Ostern,1
2017-04-18,Ostern,1
2017-04-19,Ostern,1
2017-04-20,Ostern,1
2017-04-21,Ostern,1
2017-05-26,Pfingsten,1
2017-07-24,Sommer,1
2017-07-25,Sommer,1
2017-07-26,Sommer,1
2017-07-27,Sommer,1
2017-07-28,Sommer,1
2017-07-29,Sommer,1
2017-07-30,Sommer,1
2017-07-31,Sommer,1
2017-08-01,Sommer,1
2017-08-02,Sommer,1
2017-08-03,Sommer,1
2017-08-04,Sommer,1
2017-08-05,Sommer,1
2017-08-06,Sommer,1
2017-08-07,Sommer,1
2017-08-08,Sommer,1
2017-08-09,Sommer,1
2017-08-10,Sommer,1
2017-08-11,Sommer,1
2017-08-12,Sommer,1
2017-08-13,Sommer,1
2017-08-14,Sommer,1
2017-08-15,Sommer,1
2017-08-16,Sommer,1
2017-08-17,Sommer,1
2017-08-18,Sommer,1
2017-08-19,Sommer,1
2017-08-20,Sommer,1
2017-08-21,Sommer,1
2017-08-22,Sommer,1
2017-08-23,Sommer,1
2017-08-24,Sommer,1
2017-08-25,Sommer,1
2017-08-26,Sommer,1
2017-08-27,Sommer,1
2017-08-28,Sommer,1
2017-08-29,Sommer,1
2017-08-30,Sommer,1
2017-08-31,Sommer,1
2017-09-01,Sommer,1
2017-09-02,Sommer,1
2017-10-16,Herbst,1
2017-10-17,Herbst,1
2017-10-18,Herbst,1
2017-10-19,Herbst,1
2017-10-20,Herbst,1
2017-10-21,Herbst,1
2017-10-22,Herbst,1
2017-10-23,Herbst,1
2017-10-24,Herbst,1
2017-10-25,Herbst,1
2017-10-26,Herbst,1
2017-10-27,Herbst,1
2017-12-21,Weihnachten,1
2017-12-22,Weihnachten,1
2017-12-23,Weihnachten,1
2017-12-24,Weihnachten,1
2017-12-25,Weihnachten,1
2017-12-26,Weihnachten,1
2017-12-27,Weihnachten,1
2017-12-28,Weihnachten,1
2017-12-29,Weihnachten,1
2017-12-30,Weihnachten,1
2017-12-31,Weihnachten,1
2018-01-01,Weihnachten,1
2018-01-02,Weihnachten,1
2018-01-03,Weihnachten,1
2018-01-04,Weihnachten,1
2018-01-05,Weihnachten,1
2018-01-06,Weihnachten,1
2018-03-29,Ostern,1
2018-03-30,Ostern,1
2018-03-31,Ostern,1
2018-04-01,Ostern,1
2018-04-02,Ostern,1
2018-04-03,Ostern,1
2018-04-04,Ostern,1
2018-04-05,Ostern,1
2018-04-06,Ostern,1
2018-04-07,Ostern,1
2018-04-08,Ostern,1
2018-04-09,Ostern,1
2018-04-10,Ostern,1
2018-04-11,Ostern,1
2018-04-12,Ostern,1
2018-04-13,Ostern,1
2018-05-11,Pfingsten,1
2018-07-09,Sommer,1
2018-07-10,Sommer,1
2018-07-11,Sommer,1
2018-07-12,Sommer,1
2018-07-13,Sommer,1
2018-07-14,Sommer,1
2018-07-15,Sommer,1
2018-07-16,Sommer,1
2018-07-17,Sommer,1
2018-07-18,Sommer,1
2018-07-19,Sommer,1
2018-07-20,Sommer,1
2018-07-21,Sommer,1
2018-07-22,Sommer,1
2018-07-23,Sommer,1
2018-07-24,Sommer,1
2018-07-25,Sommer,1
2018-07-26,Sommer,1
2018-07-27,Sommer,1
2018-07-28,Sommer,1
2018-07-29,Sommer,1
2018-07-30,Sommer,1
2018-07-31,Sommer,1
2018-08-01,Sommer,1
2018-08-02,Sommer,1
2018-08-03,Sommer,1
2018-08-04,Sommer,1
2018-08-05,Sommer,1
2018-08-06,Sommer,1
2018-08-07,Sommer,1
2018-08-08,Sommer,1
2018-08-09,Sommer,1
2018-08-10,Sommer,1
2018-08-11,Sommer,1
2018-08-12,Sommer,1
2018-08-13,Sommer,1
2018-08-14,Sommer,1
2018-08-15,Sommer,1
2018-08-16,Sommer,1
2018-08-17,Sommer,1
2018-08-18,Sommer,1
2018-10-01,Herbst,1
2018-10-02,Herbst,1
2018-10-03,Herbst,1
2018-10-04,Herbst,1
2018-10-05,Herbst,1
2018-10-06,Herbst,1
2018-10-07,Herbst,1
2018-10-08,Herbst,1
2018-10-09,Herbst,1
2018-10-10,Herbst,1
2018-10-11,Herbst,1
2018-10-12,Herbst,1
2018-10-13,Herbst,1
2018-10-14,Herbst,1
2018-10-15,Herbst,1
2018-10-16,Herbst,1
2018-10-17,Herbst,1
2018-10-18,Herbst,1
2018-10-19,Herbst,1
2018-12-21,Weihnachten,1
2018-12-22,Weihnachten,1
2018-12-23,Weihnachten,1
2018-12-24,Weihnachten,1
2018-12-25,Weihnachten,1
2018-12-26,Weihnachten,1
2018-12-27,Weihnachten,1
2018-12-28,Weihnachten,1
2018-12-29,Weihnachten,1
2018-12-30,Weihnachten,1
2018-12-31,Weihnachten,1
